claim_id,claim_text,evidence_id,evidence_text,claim_label
claim-506,100 climate models past 30 years predict actually happened assumed carbon dioxide pivotal role driving climate change effects clouds back-radiation sun trivial,"['evidence-1199931', 'evidence-510347', 'evidence-1057489', 'evidence-100394', 'evidence-1197833']",climate models used examine role sun recent climate change 2007 allowed possibility climate models underestimated effect solar forcing computer models run supercomputers reproduce predict circulation oceans annual cycle seasons flows carbon land surface atmosphere oceans absorb carbon dioxide critical predicting climate change judge global mean surface air temperature increased 0 3 0 6 °c last 100 years broadly consistent prediction climate models also magnitude natural climate variability,NOT_ENOUGH_INFO
claim-369,2050 there’s scientific consensus reached tipping point ice sheets greenland west antarctic,"['evidence-783884', 'evidence-411817']",study published 2017 concluded greenland peripheral glaciers ice caps crossed irreversible tipping point around 1997 continue melt 2019 unep study indicates least arctic greenland ice sheet tipping point already reached,SUPPORTS
claim-2184,ice ages warmer periods alligators found spitzbergen,"['evidence-224942', 'evidence-1113919']",earth climate alternates ice ages greenhouse periods glaciers planet current geological period quaternary began 2 6 million years ago extends present marked warm cold episodes cold phases called glacials quaternary ice age lasting 100 000 years interrupted warmer interglacials lasted 10 000–15 000 years,SUPPORTS
claim-1057,“moreover ocean already contains so-called oxygen minimum zones generally found middle depths,"['evidence-747577', 'evidence-69294', 'evidence-754329', 'evidence-21184', 'evidence-754923']",dead zones hypoxic low-oxygen areas world oceans large lakes caused excessive nutrient pollution human activities coupled factors deplete oxygen required support marine life bottom near-bottom water areas also known oxygen minimum zones omz oxygen minimum layer exists somewhere depth 700m 1000m deep depending place ocean deeper layer becomes oxygen starved become saturated carbon dioxide gases sulfur dioxide even trace volcanic activity oxygen consumption due respiration sinking organic matter lack gas exchange often creates oxygen minimum zone omz mesopelagic,SUPPORTS
claim-104,increases atmospheric co2 followed increases temperature,"['evidence-368192', 'evidence-423643', 'evidence-629358']",increases atmospheric concentrations co 2 long-lived greenhouse gases methane nitrous oxide ozone correspondingly strengthened absorption emission infrared radiation causing rise average global temperature since mid-20th century late 20th century scientific consensus evolved increasing concentrations greenhouse gases atmosphere cause substantial rise global temperatures changes parts climate system consequences environment human health increases ambient temperatures changes related processes directly linked rising anthropogenic greenhouse gas ghg concentrations atmosphere,SUPPORTS
claim-1975,claim 97 percent scientists believe humans causing climate change debunked head united nations intergovernmental panel climate change,"['evidence-963115', 'evidence-154218', 'evidence-503460', 'evidence-797793', 'evidence-335835']",study found 97% 489 scientists surveyed agreed global temperatures risen past century intergovernmental panel climate change ipcc intergovernmental body united nations dedicated providing world objective scientific information relevant understanding scientific basis risk human-induced climate change natural political economic impacts risks possible response options 97% agree explicitly implicitly global warming happening human-caused 97% scientists surveyed agreed global temperatures increased past 100 years 84% said personally believed human-induced warming occurring 74% agreed currently available scientific evidence substantiated occurrence 97–98% climate researchers actively publishing field support tenets acc anthropogenic climate change outlined intergovernmental panel climate change ii relative climate expertise scientific prominence researchers unconvinced acc substantially convinced researchers,NOT_ENOUGH_INFO
claim-139,january one five british children told pollsters nightmares climate change,['evidence-315515'],2007 american academy pediatrics issued policy statement global climate change children health anticipated direct health consequences climate change include injury death extreme weather events natural disasters increases climate-sensitive infectious diseases increases air pollution–related illness heat-related potentially fatal illness,SUPPORTS
claim-2062,global warming increasing magnitude frequency droughts floods,"['evidence-657110', 'evidence-553897', 'evidence-1091550']",climate change also increases droughts heat waves inhibit plant growth makes uncertain whether balancing feedback persist future maximum rainfall wind speed hurricanes typhoons likely increasing effects global warming include rising sea levels regional changes precipitation frequent extreme weather events heat waves expansion deserts,SUPPORTS
claim-1160,co2 atmosphere challenge [feeding 2 5 billion people] met,['evidence-76391'],set numbers context assuming global population around 9–10 billion 2050 carbon footprint 2–2 5 tons co2e per capita needed stay within 2 °c target,SUPPORTS
claim-2679,solubility carbon dioxide water listed handbook chemistry physics declining function temperature,"['evidence-1082891', 'evidence-411794', 'evidence-73808', 'evidence-558397', 'evidence-583134']",also intergovernmental panel climate change ipcc writes climate change 2007 synthesis report uptake anthropogenic carbon since 1750 led ocean becoming acidic average decrease ph 0 1 units following table lists temperature dependencies solubility permanent gases usually decreases increasing temperature around room temperature often smaller gas molecule lower gas solubility water lower temperature maximum henry law constant liquid water high temperatures e g approaching critical temperature solubility ionic solutes tends decrease due change properties structure liquid water lower dielectric constant results less polar solvent,NOT_ENOUGH_INFO
claim-2662,contention wolfgang knorr department earth sciences university bristol england carbon dioxide levels atmosphere 160 years ago quoted ken ward jr,"['evidence-450316', 'evidence-657496', 'evidence-962456', 'evidence-800880']",concentration carbon dioxide atmosphere today much lower plants emerged onto land ordovician silurian periods example diverse geochemical paleontological proxies indicate maximum global warmth atmospheric carbon dioxide values 700–900 ppm proxies pedogenic soil building carbonate marine boron isotopes indicate large changes carbon dioxide 2 000 ppm periods time less 1 million years paleobotanical evidence near present-day levels atmospheric co2 part tertiary meeting american geophysical union december 17 2008 scientists detailed evidence support controversial idea introduction large-scale rice agriculture asia coupled extensive deforestation europe began alter world climate pumping significant amounts greenhouse gases atmosphere last 1 000 years,REFUTES
claim-1490,concentration carbon dioxide earth’s atmosphere climbed level last seen 3 million years ago — humans even appeared rocky ball call home,['evidence-551522'],national geographic wrote concentration carbon dioxide atmosphere high first time 55 years measurement—and probably 3 million years earth history,SUPPORTS
claim-2768,long term trend albedo cooling,"['evidence-695602', 'evidence-458452', 'evidence-1075210']",scattering radiation causes atmospheric cooling whereas absorption cause atmospheric warming [citation needed] arctic regions notably release heat back space absorb effectively cooling earth layer snowfall increases local albedo reflecting away sunlight leading local cooling,SUPPORTS
claim-2168,ipcc graph showing accelerating trends misleading,['evidence-41418'],ipcc needs look trend errors ask happened,SUPPORTS
claim-785,many cases though — hurricanes example — linkage global warming particular trends uncertain disputed,"['evidence-3489', 'evidence-202201', 'evidence-1038523', 'evidence-1041281', 'evidence-626239']",human activity likely made substantial contribution ocean surface temperature changes hurricane formation regions terrestrial ecosystems earlier timing spring events well poleward upward shifts plant animal ranges linked high confidence recent warming climate change linked increase violent conflict amplifying poverty economic shocks well-documented drivers conflicts although areas linkage relationship two weak regional effects global warming long-term significant changes expected patterns average weather specific region due global warming,NOT_ENOUGH_INFO
claim-2426,twentieth century global warming start 1910,['evidence-697238'],average global temperature earth increased 0 8° celsius 1 4° fahrenheit since 1880 two-thirds warming occurred since 1975 rate roughly 0 15-0 20 °c per decade,REFUTES
claim-1292,reasonable person recognize positives negatives among policy proposals tories labour,"['evidence-342343', 'evidence-399707', 'evidence-1014366', 'evidence-462075', 'evidence-627910']",less attention given policy areas might problematic conservatives like nhs housing policy topics favoured labour immigration favoured ukip speech tynemouth next day may said labour deserted working-class voters criticised labour policy proposals said britain future depended making success brexit labour party proposed renegotiation withdrawal agreement towards closer post-withdrawal relationship eu would put forward option referendum alongside option remaining eu liberal democrats greens snp labour support ban fracking whilst conservatives propose approving fracking case-by-case basis cameron theresa may aimed helping families achieve work-home balance previously proposed offer parents 12 months parental leave shared parents choose,NOT_ENOUGH_INFO
claim-993,mean rise little 3mm per year worldwide since 1990s last decade noaa virginia key tide gauge south miami beach measured 9mm rise annually ”,"['evidence-946255', 'evidence-1049692']",1993 2017 global mean sea level rose average 3 1 ± 0 3 mm per year acceleration detected well current rates sea level rise satellite altimetry estimated 3 0 ± 0 4 millimetres 0 118 ± 0 016 per year period 1993–2017,SUPPORTS
claim-2593,[t]he study indicates “greenland’s ice may less susceptible massive meltdown predicted computer models climate change main author said interview,"['evidence-857269', 'evidence-797161']",also predicted greenland become warm enough 2100 begin almost complete melt next 1 000 years greenland enters melt mode,REFUTES
claim-1567,ipcc overestimate temperature rise,['evidence-105184'],pledges countries entering paris accord sharp rise 3 1 3 7 °c still expected occur 2100,REFUTES
claim-1834,14 august 1912 article new zealand newspaper contained brief story burning coal might produce future warming adding carbon dioxide atmosphere,"['evidence-173323', 'evidence-477558']",coal production major contributor global warming burning coal generates large quantities carbon dioxide mining operations release methane known greenhouse gas atmosphere largest long term effect coal use release carbon dioxide greenhouse gas causes climate change global warming,SUPPORTS
claim-856,pathbreaking work rosamond naylor david battisti shown tropics already hot efficiently grow grain places grain produced today already optimal growing temperature — means even small warming push slope declining productivity,"['evidence-1166728', 'evidence-578305']",africa latin america many rainfed crops near maximum temperature tolerance yields likely fall sharply even small climate changes falls agricultural productivity 30% 21st century projected rice becomes sterile exposed temperatures 35 degrees one hour flowering consequently produces grain,SUPPORTS
claim-540,heatwave europe something expected 1c warming,"['evidence-353209', 'evidence-1194725', 'evidence-1067217', 'evidence-556258', 'evidence-119750']",ruse bulgaria hit 36 6 °c 97 9 °f 13th making warmest spot europe heat wave started moscow 27 june temperatures reached 33 1 °c 91 6 °f stayed around 30 °c 90 °f rest week 2018 temperature 16 1 °c 61 0 °f meaning ranks 18th warmest june recorded england past 359 years also warmest since 1976 june 2019 hottest month record worldwide effects especially prominent europe effects climate change projected make heat waves places europe five times likely occur,SUPPORTS
claim-757,grasslands crops forests territorial waters australia absorb carbon dioxide australia emits,"['evidence-682087', 'evidence-744771', 'evidence-352796', 'evidence-173055']",estimated forests absorb 10 20 tons carbon dioxide per hectare year photosynthetic conversion starch cellulose lignin components wooden biomass forests important part global carbon cycle trees plants absorb carbon dioxide photosynthesis absorb huge amount carbon dioxide combating climate change decomposes turns carbon dioxide co2 released atmosphere,DISPUTED
claim-1407,“in award winning book ‘taken storm’ 2007 canadian researchers christopher essex ross mckitrick explain ‘temperature amount something [like height weight],"['evidence-25485', 'evidence-189203', 'evidence-710700', 'evidence-948988', 'evidence-179080']",lately temperature criterion fallen definition across united states bomb cyclone – rapid deepening mid-latitude cyclonic low-pressure area typically occurring ocean occur land nevertheless thermodynamic temperature fact definite numerical value arbitrarily chosen tradition dependent property particular materials simply less arbitrary relative degrees scales celsius fahrenheit symbol k everyday applications often convenient use celsius scale 0 °c corresponds closely freezing point water 100 °c boiling point sea level common scales celsius scale formerly called centigrade denoted °c fahrenheit scale denoted °f kelvin scale denoted k latter predominantly used scientific purposes conventions international system units si upper bound called maximum potential intensity v p {\displaystyle v_{p}} given v p 2 c k c − δ k {\displaystyle v_{p}^{2}={\frac {c_{k}}{c_{d}}}{\frac {t_{s}-t_{o}}{t_{o}}}\delta k} {\displaystyle t_{s}} temperature sea surface {\displaystyle t_{o}} temperature outflow [k] δ k {\displaystyle \delta k} enthalpy difference surface overlying air [j/kg] c k {\displaystyle c_{k}} c {\displaystyle c_{d}} surface exchange coefficients dimensionless enthalpy momentum respectively,NOT_ENOUGH_INFO
claim-3070,government proposing put risk manufacturing industry penalise struggling families make tough situation worse millions households right around australia,"['evidence-137771', 'evidence-100483', 'evidence-617690', 'evidence-462483', 'evidence-222747']",john mcdonnell said ifs analysis showed “clear threat” working people’s living standards liberal democrats said “savage cuts” would make millions households poorer families forced increasing poverty facing daily struggle pay rent put food table nearly 4 million uk children judged live households would find difficult afford enough fruit vegetables healthy foods reach official guidelines food foundation maintains upcoming minimum wage rise help many low-income working families still find worse due tax-credit changes fuel poverty affects million british working households 2 3 million households total increases energy prices affect poor people severely,NOT_ENOUGH_INFO
claim-1745,ipcc simply updated temperature history graphs show best data available time,"['evidence-660105', 'evidence-1197833', 'evidence-1052408', 'evidence-911855', 'evidence-332770']",decadal summer temperature reconstruction together separate curve plotting instrumental thermometer data 1850s onwards featured figure 3 20 ipcc second assessment report sar 1996 judge global mean surface air temperature increased 0 3 0 6 °c last 100 years broadly consistent prediction climate models also magnitude natural climate variability graph extended similar graph figure 3 20 ipcc second assessment report 1995 differed schematic first assessment report lacked temperature units appeared depict larger global temperature variations past 1000 years higher temperatures medieval warm period mid 20th century studies widely presented demonstrating current warming period exceptional comparison temperatures 1000 1900 mbh99 based graph featured publicity basis schematic diagram featured ipcc first assessment report beside cautions medieval warming might global,NOT_ENOUGH_INFO
claim-1515,one really knows last year 2016 global temperature record,"['evidence-915569', 'evidence-742898', 'evidence-730599', 'evidence-169703', 'evidence-64048']",global warming long-term rise average temperature earth climate system scientific literature overwhelming consensus global surface temperatures increased recent decades trend caused mainly human-induced emissions greenhouse gases allows temperature record constructed know last time world 2 degrees warmer sea level 6 meters 20 feet higher breaking global temperature records mt,NOT_ENOUGH_INFO
claim-1519,earth’s climate changing response increasing concentrations greenhouse gases ghgs particulate matter atmosphere largely result human activities,"['evidence-1059381', 'evidence-1187937', 'evidence-950186']",increased concentrations greenhouse gases solar luminosity volcanic eruptions variations earth orbit around sun scientists determined major factors causing current climate change greenhouse gases land use changes aerosols soot human activity since industrial revolution increased amount greenhouse gases atmosphere leading increased radiative forcing co2 methane tropospheric ozone cfcs nitrous oxide,SUPPORTS
claim-3069,continued greenhouse gas emissions current rates would cause warming induce many changes global climate system 21st century would likely larger observed 20th century,['evidence-504415'],many regions probably already seen increases warm spells heat waves virtually certain changes continue 21st century,SUPPORTS
claim-677,“which say beans eaten cows cows convert beans meat humans eat meat,"['evidence-459277', 'evidence-1079220', 'evidence-368638', 'evidence-1193739', 'evidence-474026']",buffalo generally fed coarse feeds convert protein-rich lean meat conversion human-inedible residues food crops obtain milk dairy cattle cows made pregnant induce lactation kept lactating three seven years slaughtered vehemently consumption meat eggs though consume encourage consumption milk butter cheese carnivores require meat diet survival carnists choose eat meat based beliefs,NOT_ENOUGH_INFO
claim-765,broader term covers changes beyond warmer temperatures shifting rainfall patterns ”,"['evidence-456747', 'evidence-496267']",climate change accurate scientifically describe various effects greenhouse gases world includes extreme weather storms changes rainfall patterns ocean acidification sea level general climatic patterns consist warm temperatures high annual rainfall,SUPPORTS
claim-2275,[…] constant 24-7 media coverage every significant storm worldwide makes seem way ”,"['evidence-754084', 'evidence-940616']",attracted considerable media coverage time severe widespread damage storm caused united states well unusual merger frontal system resulted nicknaming hurricane superstorm sandy media public officials several organizations including u government agencies,SUPPORTS
claim-1113,means jet stream meanders big loops bringing warm air frozen north cold air warmer southern climes ”,['evidence-459315'],jet stream instability brings warm air north well cold air south,SUPPORTS
claim-2611,final amount extra co2 remains atmosphere stays time scale centuries,"['evidence-1205623', 'evidence-620559', 'evidence-20807']",co2 concentration already released atmosphere since beginning industrialization risen well 300 ppm 415 ppm 2019 eventually land oceans take extra carbon dioxide much 20 percent may remain atmosphere many thousands years atmospheric co2 risen last 150 years current levels 390 ppmv 180 – 300 ppmv prior 800 thousand years rise temperature reduced arctic ice cap 1 100 000 sq mi 2 800 000 km2 [citation needed] smaller ever recorded,SUPPORTS
claim-2060,global warming causing hurricanes stronger hurricanes,"['evidence-553897', 'evidence-8304']",maximum rainfall wind speed hurricanes typhoons likely increasing earth climate warms seeing many changes stronger destructive hurricanes heavier rainfall disastrous flooding areas world experiencing severe drought heat waves,SUPPORTS
claim-2326,2007 northern hemisphere reached record low ice coverage northwest passage opened,"['evidence-1017927', 'evidence-956029', 'evidence-29644', 'evidence-1079662']",2007 melt season let minimum 39% 1979–2000 average first time human memory fabled northwest passage opened completely august 21 2007 northwest passage became open ships without need icebreaker september 14 2007 european space agency stated ice loss year opened historically impassable passage setting new low ice cover seen satellite measurements went back 1978 extreme loss 2007 rendered passage fully navigable,SUPPORTS
claim-1087,particular signature warming 2016 also revealing another way overpeck said noting stratosphere… saw record cold temperatures last year,"['evidence-382930', 'evidence-818951', 'evidence-1020939', 'evidence-607965', 'evidence-541555']",polar stratospheric clouds warming effect poles increasing temperatures 20 °c winter months surface air temperatures would colder given region winter months years end change attributed increasingly cold winters arctic stratosphere altitude approximately 20 km 12 mi change associated global warming relationship still investigation one strongest predictions greenhouse effect stratosphere cool global warming theory suggests stratosphere cool troposphere warms,NOT_ENOUGH_INFO
claim-2867,skeptics oppose scientific findings threaten world view far closer galileo belief-based critics catholic church,"['evidence-392', 'evidence-1091064', 'evidence-847727']",galileo contributions caused difficulties theologians natural philosophers time contradicted scientific philosophical ideas based aristotle ptolemy closely associated catholic church galileo discoveries met opposition within catholic church 1616 inquisition declared heliocentrism formally heretical alternative criticism church opposed particular scientific discoveries felt challenged authority power – particularly reformation enlightenment,SUPPORTS
claim-2300,austria today seeing earliest snowfall history 30 40 centimetres already predicted mountains,"['evidence-163344', 'evidence-612818', 'evidence-208322', 'evidence-776430', 'evidence-977782']",1925 1929 economy enjoyed short high nearly crashing[clarification needed] black tuesday austria lies latitudes 46° 49° n longitudes 9° 18° e divided five areas biggest eastern alps constitute 62% nation total area although austria cold winter −10 0 °c summer temperatures relatively high average temperatures mid-20s highest temperature 40 5 °c 105 °f august 2013 spring variable autumn cool possible snowfalls already november law neutrality passed late october 1955 state treaty ensured modern austria would align neither nato soviet bloc considered one reasons austria delayed entry european union 1995,NOT_ENOUGH_INFO
claim-2250,global warming skeptics argue earth climate sensitivity low doubling atmospheric co2 result surface temperature change order 1°c less therefore global warming nothing worry,"['evidence-692256', 'evidence-1049371']",first paper matter estimated global temperature would rise around 5 6 °c 9 0 10 8 °f quantity co 2 doubled 1990 ipcc first assessment report estimated equilibrium climate sensitivity doubling co 2 lay 1 5 4 5 °c 2 7 8 1 °f best guess light current knowledge 2 5 °c 4 5 °f,REFUTES
claim-2429,32 years rapidly increasing global temperatures minor increase global co2 emissions followed 33 years slowly cooling global temperatures rapid increases global co2 emissions deceitful ipcc make claim co2 emissions primarily responsible observed 20th century global warming,"['evidence-755175', 'evidence-1202023', 'evidence-483558']",ipcc third assessment report conclusion observed warming last 50 years likely due increase greenhouse gas concentrations accurately reflects current thinking scientific community issue intergovernmental panel climate change said likelihood 90 percent 99 percent emissions heat-trapping greenhouse gases like carbon dioxide spewed tailpipes smokestacks dominant cause observed warming last 50 years global warming observed past 50 years due primarily human-induced emissions heat-trapping gases,REFUTES
claim-3051,natural influences particular impact el niño la niña removed recent termperature record evidence significant change human contribution climate change,"['evidence-1187937', 'evidence-881808', 'evidence-338219']",scientists determined major factors causing current climate change greenhouse gases land use changes aerosols soot introduction includes statement strong evidence warming earth last half-century caused largely human activity burning fossil fuels changes land use including agriculture deforestation ‘climate change’ due natural forces human activity substantial evidence indicate human activity – specifically increased greenhouse gas ghgs emissions – key factor pace extent global temperature increases,DISPUTED
claim-1549,empirical evidence climate change,"['evidence-1047048', 'evidence-574477']",climate change proven affect biodiversity evidence supporting altering effects widespread strong credible body evidence based multiple lines research documenting climate changing changes large part caused human activities,REFUTES
claim-261,1995 one scientist ipcc – jonathan overpeck – wrote email colleague claiming ‘we get rid medieval warm period ’,"['evidence-112875', 'evidence-33543', 'evidence-974202', 'evidence-332770', 'evidence-32121']",basis schematic diagram featured ipcc first assessment report 1990 beside cautions medieval warming might global however view questioned researchers ipcc first assessment report 1990 discussed medieval warm period around 1000 ad may global little ice age ended middle late nineteenth century ipcc second assessment report sar 1996 featured graph early northern hemisphere reconstruction raymond bradley phil jones noted 1994 reconstruction hughes henry f diaz questioning widespread medieval warm period one time basis schematic diagram featured ipcc first assessment report beside cautions medieval warming might global ipcc tar still draft fred singer held press event saying accept wibjörn karlén alleged mbh99 showed neither medieval warm period little ice age inaccurate claim echoed soon afterwards john lawrence daly,NOT_ENOUGH_INFO
claim-2230,[ice] expanding much antarctica contrary widespread public belief global warming melting continental ice cap,"['evidence-728645', 'evidence-1170460']",contrast melting arctic sea ice sea ice around antarctica expanding 2013[update] result continued warming polar ice caps melted much gondwana became desert,DISPUTED
