claim_id,claim_text,evidence_id,evidence_text,claim_label
claim-1441,195 countries signed 2015 paris agreement agreeing limit global warming adapt climate change partly protecting nature,['evidence-217743'],2015 196 parties convention came together un climate change conference paris 30 november 12 december adopted consensus paris agreement aimed limiting global warming less two degrees celsius pursue efforts limit rise 1 5 degrees celsius,SUPPORTS
claim-1181,however process accretion coral broken waves washes low-lying islands sand counteracting reduction land mass,"['evidence-222694', 'evidence-905909', 'evidence-600745', 'evidence-337702', 'evidence-1015241']",sea level changes drastic time insufficient wave action accumulate sand dune eventually become barrier island aggradation believed waves moving shallow water churned sand deposited form submarine bar waves broke lost much energy habili – reef specific red sea reach near enough surface cause visible surf may hazard ships arabic unborn microatoll – community species corals vertical growth limited average tidal height growth morphologies offer low-resolution record patterns sea level change fossilized remains dated using radioactive carbon dating used reconstruct holocene sea levels cays – small low-elevation sandy islands formed surface coral reefs eroded material piles forming area sea level stabilized plants become habitable occur tropical environments throughout pacific atlantic indian oceans including caribbean great barrier reef belize barrier reef provide habitable agricultural land seamount guyot – formed coral reef volcanic island subsides tops seamounts rounded guyots flat flat tops guyots tablemounts due erosion waves winds atmospheric processes coral reef ecosystems contain distinct zones host different kinds habitats waves grazing fish parrotfish sea urchins sponges forces organisms act bioeroders breaking coral skeletons fragments settle spaces reef structure form sandy bottoms associated reef lagoons time corals fragment die sand rubble accumulates corals shells clams molluscs decay form gradually evolving calcium carbonate structure,NOT_ENOUGH_INFO
claim-2417,mars triton pluto jupiter show global warming pointing sun dominating influence determining climate throughout solar system,"['evidence-386828', 'evidence-535248', 'evidence-1078011', 'evidence-975483', 'evidence-177166']",major aspect climate change demonstrated direct temperature measurements measurements various effects warming another line evidence warming due sun temperature changes differ different levels earth atmosphere largest human influence emission greenhouse gases carbon dioxide methane nitrous oxide sun earth primary energy source changes incoming sunlight directly affect climate system neptune orbits sun triton polar regions take turns facing sun resulting seasonal changes one pole moves sunlight,NOT_ENOUGH_INFO
claim-2152,venus runaway greenhouse effect,"['evidence-515817', 'evidence-1018575', 'evidence-791159', 'evidence-1009205', 'evidence-878835']",planet venus experienced runaway greenhouse effect resulting atmosphere 96% carbon dioxide surface atmospheric pressure roughly found 900 3 000 ft underwater earth runaway greenhouse effect involving carbon dioxide water vapor long ago hypothesized occurred venus idea still largely accepted[citation needed] venus receives twice sunlight earth thought contributed runaway greenhouse effect may water oceans past would vaporized temperature rose due runaway greenhouse effect co 2-rich atmosphere generates strongest greenhouse effect solar system creating surface temperatures least 735 k 462 °c 864 °f,REFUTES
claim-826,latest noaa report “a reminder climate change despite insistence climate contrarians ‘paused’ even slowed ” mann said,['evidence-497197'],details findings new report confirms noaa data climate change,SUPPORTS
claim-1066,[…] fact pattern already emerging conditions create extremely warm dry years extremely wet years becoming frequent,['evidence-876634'],since 1950s droughts heat waves appeared simultaneously increasing frequency,SUPPORTS
claim-3003,venus hot runaway greenhouse,"['evidence-175982', 'evidence-515817', 'evidence-1009205']",also perceived global warming growing man-made danger likened natural development venus hot life-hostile planet kind runaway greenhouse effect planet venus experienced runaway greenhouse effect resulting atmosphere 96% carbon dioxide surface atmospheric pressure roughly found 900 3 000 ft underwater earth may water oceans past would vaporized temperature rose due runaway greenhouse effect,REFUTES
claim-3059,models direct observations find cfcs contribute fraction warming supplied greenhouse gases,"['evidence-368192', 'evidence-1148684', 'evidence-457889', 'evidence-91026', 'evidence-813877']",increases atmospheric concentrations co 2 long-lived greenhouse gases methane nitrous oxide ozone correspondingly strengthened absorption emission infrared radiation causing rise average global temperature since mid-20th century strength cfc absorption bands unique susceptibility atmosphere wavelengths cfcs indeed covalent fluorine compounds absorb creates “super” greenhouse effect cfcs unreactive fluorine-containing gases perfluorocarbons hfcs hcfcs bromofluorocarbons sf6 nf3 seven sources co 2 fossil fuel combustion percentage contributions 2000–2004 carbon dioxide methane nitrous oxide n 2o three groups fluorinated gases sulfur hexafluoride sf 6 hydrofluorocarbons hfcs perfluorocarbons pfcs major anthropogenic greenhouse gases regulated kyoto protocol international treaty came force 2005 although cfcs greenhouse gases regulated montreal protocol motivated cfcs contribution ozone depletion rather contribution global warming report shows detail individual warming contributions positive forcing carbon dioxide methane nitrous oxide halocarbons human warming factors warming effects changes solar activity,NOT_ENOUGH_INFO
claim-568,research also revealed large areas polar ice caps could collapse significant changes ecosystems could see sahara desert become green edges tropical forests turn fire-dominated savanna,['evidence-555453'],regime shifts polar regions include melting greenland ice sheet possible collapse thermohaline circulation system,SUPPORTS
claim-60,means probably half maybe half nine-tenths degree [of total warming] might caused greenhouse gases,"['evidence-741089', 'evidence-251138', 'evidence-510852', 'evidence-1202023']",2018 michaels asserted fox news probably half maybe half nine-tenths degree [of total warming] might caused greenhouse gases climatic warming last 50 years likely caused increased concentrations greenhouse gases atmosphere human-caused increases greenhouse gases responsible observed global average surface warming roughly 0 8 °c 1 5 °f past 140 years intergovernmental panel climate change said likelihood 90 percent 99 percent emissions heat-trapping greenhouse gases like carbon dioxide spewed tailpipes smokestacks dominant cause observed warming last 50 years,DISPUTED
claim-378,thousands millions years earth changing cycles­ one-off events asteroid impact super-volcano supernova explosion,"['evidence-594594', 'evidence-184401']",tectonics erosion volcanic eruptions flooding weathering glaciation growth coral reefs meteorite impacts among processes constantly reshape earth surface geological time approximately 4 1 3 8 bya numerous asteroid impacts late heavy bombardment caused significant changes greater surface environment moon inference earth,SUPPORTS
claim-2486,minute increase anthropogenic co2 atmosphere 0 008% cause warming—it continuation natural cycles occurred past 500 years,"['evidence-881808', 'evidence-510852']",introduction includes statement strong evidence warming earth last half-century caused largely human activity burning fossil fuels changes land use including agriculture deforestation human-caused increases greenhouse gases responsible observed global average surface warming roughly 0 8 °c 1 5 °f past 140 years,REFUTES
claim-1782,thousands coral atolls drowned unable grow fast enough survive sea level,"['evidence-1144381', 'evidence-124990', 'evidence-915986', 'evidence-308548']",islands disappear rising seas 80 per cent country land composed coral islands rise less one metre sea level volcano sinks back sea coral continues grow keeping reef water level atolls shown resilience gradual sea-level rise atolls reef islands able grow current climate conditions generating sufficient sand coral debris accumulates gets dumped islands cyclones,DISPUTED
claim-1235,“during ice ages caused wobbles earth’s orbit sea levels dropped 400 feet ice piled land,"['evidence-843672', 'evidence-1109588', 'evidence-284300']",last glacial period sea-level fluctuated 20–30 water sequestered primarily northern hemisphere ice sheets glaciation water taken oceans form ice high latitudes thus global sea level dropped 110 meters exposing continental shelves forming land-bridges land-masses animals migrate due volume ice land sea level 120 meters lower present,SUPPORTS
claim-2065,global warming causing snow disappear,"['evidence-88825', 'evidence-1184933', 'evidence-292592', 'evidence-618094']",surface temperature increases greatest arctic contributed retreat glaciers permafrost sea ice global warming led decades shrinking thinning arctic sea ice making vulnerable atmospheric anomalies effect results increased absorption radiation accelerates melting increase absorption sunlight also increases melting sea level rise,SUPPORTS
claim-1390,“lyme disease much common northern cooler regions united states southern warmer regions,"['evidence-1094006', 'evidence-307215']",u lyme common new england mid-atlantic states parts wisconsin minnesota expanding areas lyme disease occurs regularly northern hemisphere temperate regions,SUPPORTS
claim-2789,time hansen also produced model future behavior globe’s temperature turned video movie heavily shopped congress,['evidence-1011994'],dr james e hansen national aeronautics space administration told congressional committee 99 percent certain warming trend natural variation caused buildup carbon dioxide artificial gases atmosphere,SUPPORTS
claim-1414,earth 15 years “mini ice-age” cause bitterly cold winters rivers thames freeze scientists predicted,"['evidence-601898', 'evidence-1116043', 'evidence-93627', 'evidence-1088241', 'evidence-16120']",canals rivers great britain netherlands frequently frozen deeply enough support ice skating winter festivals series cold winters thames froze london bridge first frost fair 1607 tent city set river along number amusements including ice bowling temperatures began rise starting 1814 river stopped freezing uk snow drifts remained hills late july thames froze september thames remained frozen 8 weeks,NOT_ENOUGH_INFO
claim-377,halve carbon dioxide content atmosphere life dies,['evidence-765194'],currently half carbon dioxide released burning fossil fuels remains atmosphere absorbed vegetation oceans,REFUTES
claim-558,species lot plasticity tend generalists,['evidence-738531'],common invasive species traits include following fast growth rapid reproduction high dispersal ability phenotype plasticity ability alter growth form suit current conditions tolerance wide range environmental conditions ecological competence ability live wide range food types generalist association humans prior successful invasions typically introduced species must survive low population densities becomes invasive new location,SUPPORTS
claim-1447,flights departing airports united states territories emitted one-quarter 24% global passenger transport-related co2 two-thirds came domestic flights,['evidence-331238'],2018 co2 emissions totalled 747 million tonnes passenger transport 8 5 trillion revenue passenger kilometres rpk giving average 88 gram co2 per rpk,SUPPORTS
claim-1038,multiplying 95 15 times yields 46 3 percent ”,"['evidence-935810', 'evidence-997014', 'evidence-724362', 'evidence-1052470', 'evidence-56420']",1000 g x 1 kg x × 46 kg x 1 kmol x × 1 kmol x 22 414 3 x × 10 3 x 10 6 3 gas × 20 3 gas 1 minute × 60 minute 1 hour 24 63 g x hour {\displaystyle {\frac {1000\ {\ce {g\ no}}_{x}}{1{\cancel {{\ce {kg\ no}}_{x}}}}}\times {\frac {46\ {\cancel {{\ce {kg\ no}}_{x}}}}{1\ {\cancel {{\ce {kmol\ no}}_{x}}}}}\times {\frac {1\ {\cancel {{\ce {kmol\ no}}_{x}}}}{22 414\ {\cancel {{\ce {m}}^{3}\ {\ce {no}}_{x}}}}}\times {\frac {10\ {\cancel {{\ce {m}}^{3}\ {\ce {no}}_{x}}}}{10^{6}\ {\cancel {{\ce {m}}^{3}\ {\ce {gas}}}}}}\times {\frac {20\ {\cancel {{\ce {m}}^{3}\ {\ce {gas}}}}}{1\ {\cancel {\ce {minute}}}}}\times {\frac {60\ {\cancel {\ce {minute}}}}{1\ {\ce {hour}}}}=24 63\ {\frac {{\ce {g\ no}}_{x}}{\ce {hour}}}} canceling dimensional units appear numerators denominators fractions equation nox concentration 10 ppmv converts mass flow rate 24 63 grams per hour return 20 000 usd divided 100 000 usd equals 20 percent assuming returns reinvested returns n {\displaystyle n} successive time sub-periods r 1 r 2 r 3 ⋯ r n {\displaystyle r_{1} r_{2} r_{3} \cdots r_{n}} cumulative return overall return overall time period result compounding returns together 1 r 1 1 r 2 ⋯ 1 r n − 1 {\displaystyle 1+r_{1} 1+r_{2} \cdots 1+r_{n} -1} returns logarithmic returns however logarithmic return overall time period ∑ 1 n r l g r l g 1 r l g 2 r l g 3 ⋯ r l g n {\displaystyle \sum _{i=1}^{n}r_{\mathrm {log} i}=r_{\mathrm {log} 1}+r_{\mathrm {log} 2}+r_{\mathrm {log} 3}+\cdots +r_{\mathrm {log} n}} formula applies assumption reinvestment returns means successive logarithmic returns summed e example assuming reinvestment cumulative return annual returns 50% -20% 30% -40% 1 0 50 1 − 0 20 1 0 30 1 − 0 40 − 1 − 0 0640 − 6 40 {\displaystyle 1+0 50 1-0 20 1+0 30 1-0 40 -1=-0 0640=-6 40\%} geometric average 1 0 50 1 − 0 20 1 0 30 1 − 0 40 4 − 1 − 0 0164 − 1 64 {\displaystyle {\sqrt[{4}]{ 1+0 50 1-0 20 1+0 30 1-0 40 }}-1=-0 0164=-1 64\%} equal annualized cumulative return 1 − 0 0640 4 − 1 − 0 0164 {\displaystyle {\sqrt[{4}]{1-0 0640}}-1=-0 0164} presence external flows cash securities moving portfolio return calculated compensating movements value investment doubled return r {\displaystyle r} +100% r l g {\displaystyle r_{\mathrm {log} }} ln $200 $100 ln 2 69 3%,NOT_ENOUGH_INFO
claim-2794,results evidence actual climate sensitivity 3°c doubling atmospheric co2,"['evidence-269431', 'evidence-950248', 'evidence-725977']",arrhenius calculated temperature increase expected doubling co 2 around 5-6 °c ipcc 2007 estimates expected rise temperature due doubling co2 3 °c 5 4 °f ± 1 5° hand doubling percentage carbon dioxide air would raise temperature earth surface 4° carbon dioxide increased fourfold temperature would rise 8°,DISPUTED
claim-930,“right shelf works like giant bottle-stopper slows ice trying flow land sea,"['evidence-1005403', 'evidence-69047', 'evidence-630900', 'evidence-1199599', 'evidence-1150464']",however outflow ice land form ice shelf causes rise global sea level ice shelf large floating platform ice forms glacier ice sheet flows coastline onto ocean surface new source ice volume flows sea level displacing sea water contributing sea level rise flow continually moves ice grounding line seaward front shelf ross ice shelf pushes sea 1 5 3 5 10 ft day,NOT_ENOUGH_INFO
claim-2763,long term trend albedo cooling,"['evidence-695602', 'evidence-458452', 'evidence-1075210']",scattering radiation causes atmospheric cooling whereas absorption cause atmospheric warming [citation needed] arctic regions notably release heat back space absorb effectively cooling earth layer snowfall increases local albedo reflecting away sunlight leading local cooling,SUPPORTS
claim-1920,melting arctic sea ice polar icecaps occurring unnatural rates constitute evidence human impact climate,"['evidence-379278', 'evidence-118577', 'evidence-896442', 'evidence-780167', 'evidence-869636']",arctic sea ice maintains cool temperature polar regions important albedo effect climate effects global warming arctic include rising temperatures loss sea ice melting greenland ice sheet effects climate change human systems mostly due warming shifts precipitation detected worldwide current rate decline ice caps caused many investigations discoveries glacier dynamics influence world climate melting polar ice caps combined thermal expansion lead rises sea levels may impact adversely coastal cities,NOT_ENOUGH_INFO
claim-2961,cooks ’97% consensus’ disproven new peer,"['evidence-364120', 'evidence-608883']",november 2019 survey 11 600 peer-reviewed articles published first seven months 2019 showed consensus reached 100% november 2019 study showed consensus among research scientists grown 100% based review 11 602 peer-reviewed articles published first 7 months 2019,REFUTES
claim-1395,severe storms floods agricultural losses may cost great deal money extreme weather events—and resulting costs—are dramatically declining earth modestly warms,['evidence-789848'],climate change caused human activities emit greenhouse gases air expected affect frequency extreme weather events drought extreme temperatures flooding high winds severe storms,REFUTES
claim-1404,receding polar ice caps little negative impact human health welfare likely positive benefit,"['evidence-183320', 'evidence-634003']",floods short long term negative implications peoples health well melting glaciers many social ecological consequences directly indirectly impact health well-being humans,REFUTES
claim-2257,harmless emissions trifling quantities carbon dioxide cannot possibly acidify oceans,"['evidence-123975', 'evidence-763909', 'evidence-973268']",carbon dioxide also causes ocean acidification dissolves water form carbonic acid marine calcifiers exhibit mixed responses co 2-induced ocean acidification rising levels carbon dioxide acidifying oceans,REFUTES
claim-646,houlton’s finding vast previously unknown nitrogen stores holds true would enormous impact global warming predictions,"['evidence-1127656', 'evidence-661614', 'evidence-1068819', 'evidence-1036643', 'evidence-51841']",climate models predict much greater warming arctic global average resulting significant international attention region projection designed simulate future efforts made reduce global emissions likely rise global average temperature predicted 5 5 °c 2100 1970s scientists becoming increasingly aware estimates global temperatures showed cooling since 1945 well possibility large scale warming due emissions greenhouse gases model included estimated changes solar intensity gave reasonable match temperatures previous thousand years prediction co 2 warming dominates surface temperature patterns soon 1980 consensus emerging parties international agreement would introduce measures constrain combustion hydrocarbons effort limit global temperature rise nominal 2 °c scientists predicted would limit environmental harm tolerable levels,NOT_ENOUGH_INFO
claim-1545,increasing co2 atmosphere little effect,"['evidence-368192', 'evidence-66273', 'evidence-481658']",increases atmospheric concentrations co 2 long-lived greenhouse gases methane nitrous oxide ozone correspondingly strengthened absorption emission infrared radiation causing rise average global temperature since mid-20th century higher atmospheric co2 concentrations led increase dissolved co2 causes ocean acidification increased concentrations gases co 2 ~20% ozone n 2o external forcing hand,REFUTES
claim-1317,“…climate change also reduce number cold days cold spells,"['evidence-512115', 'evidence-1025337', 'evidence-130644', 'evidence-1126075', 'evidence-53757']",temperature-related changes include longer growing season heatwaves fewer cold spells thawing permafrost earlier river ice break-up earlier spring runoff earlier budding trees future climate change include hot days fewer cold days since 1950 number cold days nights decreased number warm days night increased effects weather encompass increased heavy precipitation reduced amounts cold days increase heat waves various effects tropical cyclones include increases air water temperatures reduced frost days increased frequency intensity heavy downpours rise sea level reduced snow cover glaciers permafrost sea ice,SUPPORTS
claim-1547,water vapor powerful greenhouse gas,"['evidence-677405', 'evidence-706949', 'evidence-699826']",oxidation methane produce ozone water major source water vapor normally dry stratosphere water vapor potent greenhouse gas owing presence hydroxyl bond strongly absorbs infra-red region light spectrum component earth hydrosphere hydrologic cycle particularly abundant earth atmosphere also potent greenhouse gas along gases carbon dioxide methane,SUPPORTS
claim-2280,minor errors inconvenient truth main truths presented evidence show mankind causing global warming various impacts consistent peer reviewed science,"['evidence-1109658', 'evidence-926139', 'evidence-539110', 'evidence-742898']",19 climate scientists seen movie read homonymous book said gore accurately conveyed science errors gore presentation powerful clear explanation global warming ever seen judge attacks nine errors al gore alarmist climate change film scientific literature overwhelming consensus global surface temperatures increased recent decades trend caused mainly human-induced emissions greenhouse gases,DISPUTED
claim-118,100 per cent warming past century due human actions,"['evidence-1170178', 'evidence-281484', 'evidence-483558', 'evidence-1180647']",view human activities likely responsible observed increase global mean temperature global warming since mid-20th century accurate reflection current scientific thinking dominant cause warming since 1950s human activities global warming observed past 50 years due primarily human-induced emissions heat-trapping gases human activities primarily burning fossil fuels coal oil natural gas secondarily clearing land increased concentration carbon dioxide methane heat-trapping greenhouse gases atmosphere international scientific consensus warming observed last 50 years attributable human activities,SUPPORTS
claim-1357,“the notion world-wide weather becoming extreme notion testable hypothesis,"['evidence-1032156', 'evidence-748405', 'evidence-516535', 'evidence-241739', 'evidence-884622']",popper considered falsifiability test whether theories scientific whether propositions contain support true one hitherto stood severest tests one also testable rigorous way new idea put tentatively yet justified way—an anticipation hypothesis theoretical system will—conclusions drawn means logical deduction given empirical basis criterion demarcation draws sharp line theories scientific un-scientific hypothesis tests used determining outcomes study would lead rejection null hypothesis pre-specified level significance,NOT_ENOUGH_INFO
claim-69,sea level rise going happen,"['evidence-639299', 'evidence-287438', 'evidence-365963']",21st century expected rise glaciers contributing 7 24 cm 3 9 global sea levels emissions remain high ipcc projects sea level rise 52–98 cm 20–39 could mean rapid sea level rise 19 mm 0 75 per year end century,REFUTES
claim-2849,2001 [ipcc] climate assessment medieval warm period ingeniously wiped,"['evidence-298630', 'evidence-1052408']",ipcc first assessment report 1990 noted evidence holocene climatic optimum around 5 000-6 000 years ago warmer present least summer areas exceptional warmth shorter medieval warm period may global ad 950-1250 followed cooler period little ice age ended middle late nineteenth century graph extended similar graph figure 3 20 ipcc second assessment report 1995 differed schematic first assessment report lacked temperature units appeared depict larger global temperature variations past 1000 years higher temperatures medieval warm period mid 20th century,SUPPORTS
claim-499,monetary cost damages increased dramatically recent decades due increasing population wealth amount vulnerable infrastructure,"['evidence-630162', 'evidence-394340', 'evidence-95950', 'evidence-564718', 'evidence-1153500']",losses caused catastrophes defined property insurance industry storms causing insured losses $5 million year occurrence grown steadily united states $100 million annually 1950s $6 billion per year 1990s annual number catastrophes grew 10 1950s 35 1990s ” authors pointed several reasons commercial insurance markets cannot adequately cover risks associated climate change arrow et al 1996 p 72 2001 concluded countries limited economic resources low levels technology poor information skills poor infrastructure unstable weak institutions inequitable empowerment access resources little adaptive capacity highly vulnerable climate change p 879 others note economy stabilized growing late 1980s inequality widened nearly 45% population fallen poverty wealthiest 10% seen incomes rise 83% additionally percentage chilean population living poverty rose 17% 1969 45% 1985 time government budgets education health housing dropped 20% average despite income wealth disparities united states continues rank high measures socioeconomic performance including average wage median income median wealth human development per capita gdp worker productivity,NOT_ENOUGH_INFO
claim-749,“the worldwide temperature record changed,"['evidence-219865', 'evidence-770232']",past five decades global warming approximately 0 65 °c 1 17 °f earth surface see historical temperature record examination average global temperature changes decades reveals continuing climate change ar5 reports last three decades successively warmer earth surface preceding decade since 1850 see figure spm 1,SUPPORTS
claim-428,brooks added antarctic ice growing,"['evidence-403151', 'evidence-427121']",glaciation favored interval earth orbit favored cool summers oxygen isotope ratio cycle marker changes large explained antarctic ice-sheet growth alone indicating ice age size 2006 paper derived satellite data measuring changes gravity ice mass suggests total amount ice antarctica begun decreasing past years,DISPUTED
claim-1837,major part climate change bill sponsored sens john kerry joe lieberman essentially written bp,['evidence-606697'],december 10 2009 graham co-sponsored letter president barack obama along senators john kerry joe lieberman announcing commitment passing climate change bill outlining framework,SUPPORTS
claim-1875,doubling concentration atmospheric co2 pre-industrial level absence forcings feedbacks would likely cause warming ~0 3â°c 1 1â°c,"['evidence-843608', 'evidence-714864', 'evidence-219780', 'evidence-481658']",following start industrial revolution atmospheric co 2 concentration increased 400 parts per million continues increase causing phenomenon global warming higher co2 levels led additional climate warming ranging 0 1° 1 5 °c global temperature increase since beginning industrial period taken 1750 0 8 °c 1 4 °f radiative forcing due co 2 long-lived greenhouse gases – mainly methane nitrous oxide chlorofluorocarbons – emitted since time 2 6 w/m2 increased concentrations gases co 2 ~20% ozone n 2o external forcing hand,DISPUTED
claim-1324,cold deaths actually occur moderate temperatures,['evidence-946873'],american east coast parts american midwest record high temperatures killing two people 8th,REFUTES
claim-1980,three nobel economic laureates support direct investment technology rather carbon tax,"['evidence-385259', 'evidence-891871', 'evidence-955609', 'evidence-141679', 'evidence-620224']",also thinks rest world impose carbon-adjustment tax protectionist measure american exports comply global standard three share nobel economics work social mechanisms 2003 samuelson one ten nobel prize–winning economists signing economists statement opposing bush tax cuts yale economist william nordhaus spent better part four decades trying persuade governments address climate change preferably imposing tax carbon emissions many news outlets reported nordhaus prize noted advance wave economists embraced carbon tax preferred method carbon pricing,NOT_ENOUGH_INFO
claim-409,time progresses fossil fuel emissions increase number record highs increase record lows decrease,"['evidence-131765', 'evidence-478058', 'evidence-158965', 'evidence-493954', 'evidence-845416']",levels much higher time last 800 000 years period reliable data collected ice cores 10th emissions gap report issued united nations environment programme unep predicts emissions continue increase rate 2010–2020 global temperatures would rise much 4° 2100 recent data also shows concentration increasing higher rate peak oil theorized point time maximum rate extraction petroleum reached expected enter terminal decline oil production record levels,NOT_ENOUGH_INFO
claim-2193,last 35 years global warming sun shown slight cooling trend,"['evidence-311416', 'evidence-996913']",globally effects estimated led slight cooling dominated increase surface albedo three decades following 1978 combination solar volcanic activity estimated slight cooling influence,SUPPORTS
claim-3084,temperature increase second half 20th century could taken place steps driven major enso events jens raunsø jensen,"['evidence-350901', 'evidence-417371']",example one recent results even subtracting positive influence decadal variation shown possibly present enso trend amplitude enso variability observed data still increases much 60% last 50 years accurately global warming mainly human-caused increase global surface temperatures projected continuation climate change includes global warming effects changes precipitation,DISPUTED
claim-1227,tidal floods often foot two deep stop traffic swamp basements damage cars kill lawns forests poison wells salt,"['evidence-378560', 'evidence-1116066', 'evidence-703743', 'evidence-974319', 'evidence-821236']",area prone winter floods fresh water occasional salt water inundations worst recorded history bristol channel floods 1607 resulted drowning estimated 2 000 people houses villages swept away estimated 200 square miles 520 km2 farmland inundated livestock destroyed wells water tables mixed tributaries non-tidal thames faced pollution widespread installation flush toilet 1850s coastal salt marshes distinguished terrestrial habitats daily tidal flow occurs continuously floods area high salt marsh arrow-grass forb panne briefly flooded shallow moderate amount vegetation usually dominated arrow grass triglochin maritimum deeper sections possibly remaining unvegetated wetland distinct ecosystem flooded water either permanently seasonally oxygen-free processes prevail,NOT_ENOUGH_INFO
claim-1499,sea-level rise seem depend ocean temperature certainly co2,"['evidence-835367', 'evidence-1179193', 'evidence-1127398', 'evidence-382866', 'evidence-722761']",depth depends among things temperature amount co 2 dissolved ocean atlantic set warm faster pace pacific acceleration due mostly human-caused global warming driving thermal expansion seawater melting land-based ice sheets glaciers heat needed raise average temperature increase entire world ocean 0 01 °c would increase atmospheric temperature approximately 10 °c thus small change mean temperature ocean represents large change total heat content climate system,NOT_ENOUGH_INFO
