claim_id,claim_text,evidence_id,evidence_text
claim-2796,['used currently accepted value approximately 3°c warming doubling atmospheric co2 hansen would correctly projected ensuing global warming'],"['evidence-68000', 'evidence-233177', 'evidence-322303', 'evidence-898614', 'evidence-72690']","['celsius family swedish family anders celsius inventor celsius temperature scale belongs', 'important climate', 'climate also referred mountain climate highland climate', 'people regard climate change catastrophic irreversible rapid might label climate change climate crisis climate emergency', 'climate change']"
claim-2580,['volcanoes emit around 0 3 billion tonnes co2 per year'],"['evidence-232147', 'evidence-411279', 'evidence-403100', 'evidence-890592', 'evidence-361245']","['however record surface temperature near-surface temperature 1 5 meter used surface weather observations', 'corvus uk service designation outfit ulc lightweight quick reaction system self-defence surface vessels surface-to-surface air-to-surface missiles', 'image 2d surface changes surface rotates', 'sediment contamination surface water common surface mining', 'four surfaces anterior surface orbital superior surface nasal medial surface infratemporal posterior surface']"
claim-1219,['global warming driving major melting surface greenland’s glaciers speeding travel sea ”'],"['evidence-413410', 'evidence-182430', 'evidence-554535', 'evidence-769578', 'evidence-114562']","['greenhouse gas causing warming rate warming higher troposphere surface', 'cooling contributed towards recent global warming hiatus surface temperatures would change enhanced surface warming next phase oscillation', 'specifically surface data showed substantial global-average warming early versions satellite radiosonde data showed little warming surface', 'greenhouse gas causing warming rate warming higher troposphere surface', 'report also said current atmospheric data sets show global-average warming similar surface warming']"
claim-75,['science clear climate change making extreme weather events including tornadoes worse'],"['evidence-413410', 'evidence-182430', 'evidence-889933', 'evidence-554535', 'evidence-769578', 'evidence-114562']","['greenhouse gas causing warming rate warming higher troposphere surface', 'cooling contributed towards recent global warming hiatus surface temperatures would change enhanced surface warming next phase oscillation', 'multiple independently produced instrumental datasets confirm 2009–2018 decade 0 93 ± 0 07 °c warmer pre-industrial baseline 1850–1900', 'specifically surface data showed substantial global-average warming early versions satellite radiosonde data showed little warming surface', 'greenhouse gas causing warming rate warming higher troposphere surface', 'report also said current atmospheric data sets show global-average warming similar surface warming']"
claim-2813,['fact authors go estimate climate sensitivity findings calculate value 2 3 4 1°c'],"['evidence-232147', 'evidence-411279', 'evidence-403100', 'evidence-890592', 'evidence-889933', 'evidence-361245']","['however record surface temperature near-surface temperature 1 5 meter used surface weather observations', 'corvus uk service designation outfit ulc lightweight quick reaction system self-defence surface vessels surface-to-surface air-to-surface missiles', 'image 2d surface changes surface rotates', 'sediment contamination surface water common surface mining', 'multiple independently produced instrumental datasets confirm 2009–2018 decade 0 93 ± 0 07 °c warmer pre-industrial baseline 1850–1900', 'four surfaces anterior surface orbital superior surface nasal medial surface infratemporal posterior surface']"
claim-2335,['satellite measurements infrared spectra past 40 years observe less energy escaping space wavelengths associated co2'],"['evidence-1032659', 'evidence-310000', 'evidence-889933', 'evidence-934030', 'evidence-38396', 'evidence-1037265']","['reserves division two thirds division three', 'home almost two-thirds north carolina population', 'multiple independently produced instrumental datasets confirm 2009–2018 decade 0 93 ± 0 07 °c warmer pre-industrial baseline 1850–1900', 'second line two thirds curved upper third interrupted middle vertical two thirds inner margin lower third', 'last 100 years earth average surface temperature increased 0 8 °c 1 4 °f two thirds increase occurring last three decades', 'since published 40 titles two thirds children']"
claim-161,['extreme melting changes climate like released pressure continent allowing ground rise'],"['evidence-232147', 'evidence-310000', 'evidence-889933', 'evidence-934030', 'evidence-361245', 'evidence-38396']","['however record surface temperature near-surface temperature 1 5 meter used surface weather observations', 'home almost two-thirds north carolina population', 'multiple independently produced instrumental datasets confirm 2009–2018 decade 0 93 ± 0 07 °c warmer pre-industrial baseline 1850–1900', 'second line two thirds curved upper third interrupted middle vertical two thirds inner margin lower third', 'four surfaces anterior surface orbital superior surface nasal medial surface infratemporal posterior surface', 'last 100 years earth average surface temperature increased 0 8 °c 1 4 °f two thirds increase occurring last three decades']"
claim-2243,['co2 amplifies warming mixes atmosphere spreading warming throughout planet'],"['evidence-232147', 'evidence-411279', 'evidence-403100', 'evidence-890592', 'evidence-889933', 'evidence-361245']","['however record surface temperature near-surface temperature 1 5 meter used surface weather observations', 'corvus uk service designation outfit ulc lightweight quick reaction system self-defence surface vessels surface-to-surface air-to-surface missiles', 'image 2d surface changes surface rotates', 'sediment contamination surface water common surface mining', 'multiple independently produced instrumental datasets confirm 2009–2018 decade 0 93 ± 0 07 °c warmer pre-industrial baseline 1850–1900', 'four surfaces anterior surface orbital superior surface nasal medial surface infratemporal posterior surface']"
claim-1256,['‘next year year arctic free ice’'],"['evidence-232147', 'evidence-411279', 'evidence-403100', 'evidence-890592', 'evidence-889933', 'evidence-361245']","['however record surface temperature near-surface temperature 1 5 meter used surface weather observations', 'corvus uk service designation outfit ulc lightweight quick reaction system self-defence surface vessels surface-to-surface air-to-surface missiles', 'image 2d surface changes surface rotates', 'sediment contamination surface water common surface mining', 'multiple independently produced instrumental datasets confirm 2009–2018 decade 0 93 ± 0 07 °c warmer pre-industrial baseline 1850–1900', 'four surfaces anterior surface orbital superior surface nasal medial surface infratemporal posterior surface']"
claim-506,['100 climate models past 30 years predict actually happened assumed carbon dioxide pivotal role driving climate change effects clouds back-radiation sun trivial'],"['evidence-508494', 'evidence-225290', 'evidence-556196', 'evidence-889933', 'evidence-345071', 'evidence-1123694']","['daytime temperatures risen fast nighttime temperatures', 'land air temperatures rising faster sea surface temperatures', 'temperatures low', 'multiple independently produced instrumental datasets confirm 2009–2018 decade 0 93 ± 0 07 °c warmer pre-industrial baseline 1850–1900', 'local average temperatures vary 6 30 degrees celsius', 'agreement goal keep temperatures 1 5 degrees celsius']"
claim-369,['2050 there’s scientific consensus reached tipping point ice sheets greenland west antarctic'],"['evidence-1120350', 'evidence-225290', 'evidence-556196', 'evidence-820551', 'evidence-329101']","['currently surface temperatures rising 0 2 °c per decade', 'land air temperatures rising faster sea surface temperatures', 'temperatures low', 'equatorial pacific atlantic cool surface temperatures northern summer east cooler surface temperatures prevail western indian ocean', 'instrumental temperature record provides temperature earth climate system historical network situ measurements surface air temperatures ocean surface temperatures']"
claim-2184,['ice ages warmer periods alligators found spitzbergen'],"['evidence-232147', 'evidence-450124', 'evidence-890592', 'evidence-361245', 'evidence-16594']","['however record surface temperature near-surface temperature 1 5 meter used surface weather observations', 'point — 8 2*4', 'sediment contamination surface water common surface mining', 'four surfaces anterior surface orbital superior surface nasal medial surface infratemporal posterior surface', 'example surface near point meaning coordinates vanishing point form']"
claim-1057,['“moreover ocean already contains so-called oxygen minimum zones generally found middle depths'],"['evidence-232147', 'evidence-450124', 'evidence-361245', 'evidence-744193', 'evidence-16594']","['however record surface temperature near-surface temperature 1 5 meter used surface weather observations', 'point — 8 2*4', 'four surfaces anterior surface orbital superior surface nasal medial surface infratemporal posterior surface', 'state northernmost point southernmost point easternmost point westernmost point', 'example surface near point meaning coordinates vanishing point form']"
claim-104,['increases atmospheric co2 followed increases temperature'],"['evidence-232147', 'evidence-450124', 'evidence-361245', 'evidence-744193', 'evidence-16594']","['however record surface temperature near-surface temperature 1 5 meter used surface weather observations', 'point — 8 2*4', 'four surfaces anterior surface orbital superior surface nasal medial surface infratemporal posterior surface', 'state northernmost point southernmost point easternmost point westernmost point', 'example surface near point meaning coordinates vanishing point form']"
claim-1975,['claim 97 percent scientists believe humans causing climate change debunked head united nations intergovernmental panel climate change'],"['evidence-450124', 'evidence-541151', 'evidence-930592', 'evidence-182431', 'evidence-889933', 'evidence-744193']","['point — 8 2*4', 'point — 10 2*5', 'state territory northernmost point southernmost point easternmost point westernmost point', 'point — 20 5*4', 'multiple independently produced instrumental datasets confirm 2009–2018 decade 0 93 ± 0 07 °c warmer pre-industrial baseline 1850–1900', 'state northernmost point southernmost point easternmost point westernmost point']"
claim-139,['january one five british children told pollsters nightmares climate change'],"['evidence-1080520', 'evidence-1122343', 'evidence-417371', 'evidence-889933', 'evidence-860146', 'evidence-885043']","['four aspects global education universities india might focus global curriculum global faculty global degrees global interaction', 'global change research program', 'accurately global warming mainly human-caused increase global surface temperatures projected continuation climate change includes global warming effects changes precipitation', 'multiple independently produced instrumental datasets confirm 2009–2018 decade 0 93 ± 0 07 °c warmer pre-industrial baseline 1850–1900', '2010 hansen published paper entitled global surface temperature change describing current global temperature analysis', 'global change research program']"
claim-2062,['global warming increasing magnitude frequency droughts floods'],"['evidence-232147', 'evidence-403100', 'evidence-890592', 'evidence-889933', 'evidence-361245', 'evidence-1182055']","['however record surface temperature near-surface temperature 1 5 meter used surface weather observations', 'image 2d surface changes surface rotates', 'sediment contamination surface water common surface mining', 'multiple independently produced instrumental datasets confirm 2009–2018 decade 0 93 ± 0 07 °c warmer pre-industrial baseline 1850–1900', 'four surfaces anterior surface orbital superior surface nasal medial surface infratemporal posterior surface', 'much colder conditions actually exist earth surface global mean surface temperature 14 °c']"
claim-1160,['co2 atmosphere challenge [feeding 2 5 billion people] met'],"['evidence-232147', 'evidence-411279', 'evidence-403100', 'evidence-890592', 'evidence-889933', 'evidence-361245']","['however record surface temperature near-surface temperature 1 5 meter used surface weather observations', 'corvus uk service designation outfit ulc lightweight quick reaction system self-defence surface vessels surface-to-surface air-to-surface missiles', 'image 2d surface changes surface rotates', 'sediment contamination surface water common surface mining', 'multiple independently produced instrumental datasets confirm 2009–2018 decade 0 93 ± 0 07 °c warmer pre-industrial baseline 1850–1900', 'four surfaces anterior surface orbital superior surface nasal medial surface infratemporal posterior surface']"
claim-2679,['solubility carbon dioxide water listed handbook chemistry physics declining function temperature'],"['evidence-232147', 'evidence-890592', 'evidence-889933', 'evidence-104203', 'evidence-361245', 'evidence-1182055']","['however record surface temperature near-surface temperature 1 5 meter used surface weather observations', 'sediment contamination surface water common surface mining', 'multiple independently produced instrumental datasets confirm 2009–2018 decade 0 93 ± 0 07 °c warmer pre-industrial baseline 1850–1900', 'institute research combines analysis comprehensive global datasets derived surface stations combined satellite data ssts global models atmospheric land surface oceanic processes', 'four surfaces anterior surface orbital superior surface nasal medial surface infratemporal posterior surface', 'much colder conditions actually exist earth surface global mean surface temperature 14 °c']"
claim-2662,['contention wolfgang knorr department earth sciences university bristol england carbon dioxide levels atmosphere 160 years ago quoted ken ward jr'],"['evidence-988909', 'evidence-668884', 'evidence-1080520', 'evidence-98833', 'evidence-889933', 'evidence-98914']","['paris agreement aims combat global climate change keeping global temperature rise century well 2 degrees celsius pursue efforts limit temperature increase even 1 5 degrees celsius', 'co2', 'four aspects global education universities india might focus global curriculum global faculty global degrees global interaction', 'due projected growth air travel technologically radical scenarios better 50 chance keeping global warming 2 degrees celsius 2050 aviation make 15 global co2 emissions', 'multiple independently produced instrumental datasets confirm 2009–2018 decade 0 93 ± 0 07 °c warmer pre-industrial baseline 1850–1900', 'also close correlation co2 temperature co2 strong control global temperatures earth history']"
claim-1490,['concentration carbon dioxide earth’s atmosphere climbed level last seen 3 million years ago — humans even appeared rocky ball call home'],"['evidence-130311', 'evidence-844901', 'evidence-169460', 'evidence-889933', 'evidence-742308', 'evidence-678783']","['ongoing efforts resolve differences satellite temperature datasets', 'work described resulted variety datasets possessing different formats time/space grids periods record regions coverage input datasets analysis procedures well many different forms dataset version designators', 'every confidence science various datasets use', 'multiple independently produced instrumental datasets confirm 2009–2018 decade 0 93 ± 0 07 °c warmer pre-industrial baseline 1850–1900', 'datasets also contribute ongoing efforts measure local regional national impacts climate change', 'datasets updated frequently generally close agreement']"
claim-2768,['long term trend albedo cooling'],"['evidence-232147', 'evidence-169460', 'evidence-889933', 'evidence-104203', 'evidence-361245', 'evidence-678783']","['however record surface temperature near-surface temperature 1 5 meter used surface weather observations', 'every confidence science various datasets use', 'multiple independently produced instrumental datasets confirm 2009–2018 decade 0 93 ± 0 07 °c warmer pre-industrial baseline 1850–1900', 'institute research combines analysis comprehensive global datasets derived surface stations combined satellite data ssts global models atmospheric land surface oceanic processes', 'four surfaces anterior surface orbital superior surface nasal medial surface infratemporal posterior surface', 'datasets updated frequently generally close agreement']"
claim-2168,['ipcc graph showing accelerating trends misleading'],"['evidence-413410', 'evidence-182430', 'evidence-352729', 'evidence-403673', 'evidence-889933', 'evidence-769578']","['greenhouse gas causing warming rate warming higher troposphere surface', 'cooling contributed towards recent global warming hiatus surface temperatures would change enhanced surface warming next phase oscillation', 'regional variation warming warming higher latitudes evidence warming anthropogenic origin', 'global warming 1 5 °c', 'multiple independently produced instrumental datasets confirm 2009–2018 decade 0 93 ± 0 07 °c warmer pre-industrial baseline 1850–1900', 'greenhouse gas causing warming rate warming higher troposphere surface']"
claim-785,['many cases though — hurricanes example — linkage global warming particular trends uncertain disputed'],"['evidence-668884', 'evidence-247680', 'evidence-178206', 'evidence-403673', 'evidence-889933', 'evidence-352729']","['co2', 'know co2 causing warming', 'additional co2 led projected increase warming 0 1 1 5 °c', 'global warming 1 5 °c', 'multiple independently produced instrumental datasets confirm 2009–2018 decade 0 93 ± 0 07 °c warmer pre-industrial baseline 1850–1900', 'regional variation warming warming higher latitudes evidence warming anthropogenic origin']"
claim-2426,['twentieth century global warming start 1910'],"['evidence-232147', 'evidence-924208', 'evidence-322950', 'evidence-889933', 'evidence-361245', 'evidence-1149268']","['however record surface temperature near-surface temperature 1 5 meter used surface weather observations', 'despite harsh conditions surface atmospheric pressure temperature 50 km 65 km surface planet nearly earth making upper atmosphere earth-like area solar system even surface mars', 'heating atmosphere aloft also leads cooling surface resulting less evaporation surface water', 'multiple independently produced instrumental datasets confirm 2009–2018 decade 0 93 ± 0 07 °c warmer pre-industrial baseline 1850–1900', 'four surfaces anterior surface orbital superior surface nasal medial surface infratemporal posterior surface', 'soot suspended atmosphere directly absorbs solar radiation heating atmosphere cooling surface']"
claim-1292,['reasonable person recognize positives negatives among policy proposals tories labour'],"['evidence-733076', 'evidence-889933', 'evidence-203457', 'evidence-183662', 'evidence-1177428', 'evidence-1149268']","['removal atmosphere', 'multiple independently produced instrumental datasets confirm 2009–2018 decade 0 93 ± 0 07 °c warmer pre-industrial baseline 1850–1900', 'point shift reducing atmosphere oxidizing atmosphere', 'atmosphere many things qualities atmosphere measured', 'temperature atmosphere', 'soot suspended atmosphere directly absorbs solar radiation heating atmosphere cooling surface']"
claim-993,['mean rise little 3mm per year worldwide since 1990s last decade noaa virginia key tide gauge south miami beach measured 9mm rise annually ”'],"['evidence-68000', 'evidence-733076', 'evidence-889933', 'evidence-203457', 'evidence-183662', 'evidence-1177428']","['celsius family swedish family anders celsius inventor celsius temperature scale belongs', 'removal atmosphere', 'multiple independently produced instrumental datasets confirm 2009–2018 decade 0 93 ± 0 07 °c warmer pre-industrial baseline 1850–1900', 'point shift reducing atmosphere oxidizing atmosphere', 'atmosphere many things qualities atmosphere measured', 'temperature atmosphere']"
claim-2593,['[t]he study indicates “greenland’s ice may less susceptible massive meltdown predicted computer models climate change main author said interview'],"['evidence-726293', 'evidence-733076', 'evidence-889933', 'evidence-183662', 'evidence-1177428', 'evidence-504215']","['forcing term used meteorologists describe situation change event one part atmosphere causes strengthening change another part atmosphere', 'removal atmosphere', 'multiple independently produced instrumental datasets confirm 2009–2018 decade 0 93 ± 0 07 °c warmer pre-industrial baseline 1850–1900', 'atmosphere many things qualities atmosphere measured', 'temperature atmosphere', 'equation states entropy atmosphere change height']"
claim-1567,['ipcc overestimate temperature rise'],"['evidence-362283', 'evidence-844901', 'evidence-169460', 'evidence-889933', 'evidence-742308', 'evidence-678783']","['role solar activity climate change also calculated longer time periods using proxy datasets tree rings', 'work described resulted variety datasets possessing different formats time/space grids periods record regions coverage input datasets analysis procedures well many different forms dataset version designators', 'every confidence science various datasets use', 'multiple independently produced instrumental datasets confirm 2009–2018 decade 0 93 ± 0 07 °c warmer pre-industrial baseline 1850–1900', 'datasets also contribute ongoing efforts measure local regional national impacts climate change', 'datasets updated frequently generally close agreement']"
claim-1834,['14 august 1912 article new zealand newspaper contained brief story burning coal might produce future warming adding carbon dioxide atmosphere'],"['evidence-988909', 'evidence-742972', 'evidence-68000', 'evidence-889933', 'evidence-1087424', 'evidence-1191135']","['paris agreement aims combat global climate change keeping global temperature rise century well 2 degrees celsius pursue efforts limit temperature increase even 1 5 degrees celsius', '0 ° c freezing point water celsius scale', 'celsius family swedish family anders celsius inventor celsius temperature scale belongs', 'multiple independently produced instrumental datasets confirm 2009–2018 decade 0 93 ± 0 07 °c warmer pre-industrial baseline 1850–1900', 'helicobacter typhlonius grow 37 degrees celsius well 42 degrees celsius however cannot grown 25 degrees celsius presence 1 5% sodium chloride', '1742 anders celsius swedish astronomer proposed centigrade temperature scale predecessor current celsius scale']"
claim-856,['pathbreaking work rosamond naylor david battisti shown tropics already hot efficiently grow grain places grain produced today already optimal growing temperature — means even small warming push slope declining productivity'],"['evidence-742972', 'evidence-68000', 'evidence-889933', 'evidence-508805', 'evidence-1087424', 'evidence-1191135']","['0 ° c freezing point water celsius scale', 'celsius family swedish family anders celsius inventor celsius temperature scale belongs', 'multiple independently produced instrumental datasets confirm 2009–2018 decade 0 93 ± 0 07 °c warmer pre-industrial baseline 1850–1900', 'nepal temperature risen 0 6 degrees celsius last decade whereas globally earth warmed approximately 0 7 degrees celsius last hundred years', 'helicobacter typhlonius grow 37 degrees celsius well 42 degrees celsius however cannot grown 25 degrees celsius presence 1 5% sodium chloride', '1742 anders celsius swedish astronomer proposed centigrade temperature scale predecessor current celsius scale']"
claim-540,['heatwave europe something expected 1c warming'],"['evidence-232147', 'evidence-411279', 'evidence-403100', 'evidence-890592', 'evidence-361245']","['however record surface temperature near-surface temperature 1 5 meter used surface weather observations', 'corvus uk service designation outfit ulc lightweight quick reaction system self-defence surface vessels surface-to-surface air-to-surface missiles', 'image 2d surface changes surface rotates', 'sediment contamination surface water common surface mining', 'four surfaces anterior surface orbital superior surface nasal medial surface infratemporal posterior surface']"
claim-757,['grasslands crops forests territorial waters australia absorb carbon dioxide australia emits'],"['evidence-232147', 'evidence-169460', 'evidence-104203', 'evidence-361245', 'evidence-678783']","['however record surface temperature near-surface temperature 1 5 meter used surface weather observations', 'every confidence science various datasets use', 'institute research combines analysis comprehensive global datasets derived surface stations combined satellite data ssts global models atmospheric land surface oceanic processes', 'four surfaces anterior surface orbital superior surface nasal medial surface infratemporal posterior surface', 'datasets updated frequently generally close agreement']"
claim-1407,['“in award winning book ‘taken storm’ 2007 canadian researchers christopher essex ross mckitrick explain ‘temperature amount something [like height weight]'],"['evidence-130311', 'evidence-844901', 'evidence-169460', 'evidence-889933', 'evidence-742308', 'evidence-678783']","['ongoing efforts resolve differences satellite temperature datasets', 'work described resulted variety datasets possessing different formats time/space grids periods record regions coverage input datasets analysis procedures well many different forms dataset version designators', 'every confidence science various datasets use', 'multiple independently produced instrumental datasets confirm 2009–2018 decade 0 93 ± 0 07 °c warmer pre-industrial baseline 1850–1900', 'datasets also contribute ongoing efforts measure local regional national impacts climate change', 'datasets updated frequently generally close agreement']"
claim-3070,['government proposing put risk manufacturing industry penalise struggling families make tough situation worse millions households right around australia'],"['evidence-130311', 'evidence-844901', 'evidence-169460', 'evidence-889933', 'evidence-742308', 'evidence-678783']","['ongoing efforts resolve differences satellite temperature datasets', 'work described resulted variety datasets possessing different formats time/space grids periods record regions coverage input datasets analysis procedures well many different forms dataset version designators', 'every confidence science various datasets use', 'multiple independently produced instrumental datasets confirm 2009–2018 decade 0 93 ± 0 07 °c warmer pre-industrial baseline 1850–1900', 'datasets also contribute ongoing efforts measure local regional national impacts climate change', 'datasets updated frequently generally close agreement']"
claim-1745,['ipcc simply updated temperature history graphs show best data available time'],"['evidence-169460', 'evidence-889933', 'evidence-104203', 'evidence-361245', 'evidence-742308', 'evidence-678783']","['every confidence science various datasets use', 'multiple independently produced instrumental datasets confirm 2009–2018 decade 0 93 ± 0 07 °c warmer pre-industrial baseline 1850–1900', 'institute research combines analysis comprehensive global datasets derived surface stations combined satellite data ssts global models atmospheric land surface oceanic processes', 'four surfaces anterior surface orbital superior surface nasal medial surface infratemporal posterior surface', 'datasets also contribute ongoing efforts measure local regional national impacts climate change', 'datasets updated frequently generally close agreement']"
claim-1515,['one really knows last year 2016 global temperature record'],"['evidence-232147', 'evidence-411279', 'evidence-403100', 'evidence-890592', 'evidence-889933', 'evidence-361245']","['however record surface temperature near-surface temperature 1 5 meter used surface weather observations', 'corvus uk service designation outfit ulc lightweight quick reaction system self-defence surface vessels surface-to-surface air-to-surface missiles', 'image 2d surface changes surface rotates', 'sediment contamination surface water common surface mining', 'multiple independently produced instrumental datasets confirm 2009–2018 decade 0 93 ± 0 07 °c warmer pre-industrial baseline 1850–1900', 'four surfaces anterior surface orbital superior surface nasal medial surface infratemporal posterior surface']"
claim-1519,['earth’s climate changing response increasing concentrations greenhouse gases ghgs particulate matter atmosphere largely result human activities'],"['evidence-232147', 'evidence-668884', 'evidence-979052', 'evidence-889933', 'evidence-361245', 'evidence-831735']","['however record surface temperature near-surface temperature 1 5 meter used surface weather observations', 'co2', 'co2 emissions continuing rise due burning fossil fuels land-use change', 'multiple independently produced instrumental datasets confirm 2009–2018 decade 0 93 ± 0 07 °c warmer pre-industrial baseline 1850–1900', 'four surfaces anterior surface orbital superior surface nasal medial surface infratemporal posterior surface', 'alternative fuels known non-conventional advanced fuels materials substances used fuels conventional fuels']"
claim-3069,['continued greenhouse gas emissions current rates would cause warming induce many changes global climate system 21st century would likely larger observed 20th century'],"['evidence-127475', 'evidence-1126083', 'evidence-272633', 'evidence-1037726', 'evidence-889933', 'evidence-188096']","['cold spring township erected 1857 taking name cold springs area', 'cold sulphur springs called cold soufrière located near village', 'includes studio version ``cold cold water acoustic renditions songs advisory committee album', 'mechanism possibly caused cold ocean surface temperature anomaly currently observed near greenland cold blob north atlantic', 'multiple independently produced instrumental datasets confirm 2009–2018 decade 0 93 ± 0 07 °c warmer pre-industrial baseline 1850–1900', 'cold spring sometimes spelled cold springs unincorporated community bledsoe county tennessee united states']"
claim-677,['“which say beans eaten cows cows convert beans meat humans eat meat'],"['evidence-196416', 'evidence-411391', 'evidence-77605', 'evidence-889933', 'evidence-72690', 'evidence-182543']","['name change accompanied change group sound', 'marginal change change associated relaxation tightening constraints — either change constraints change response change constraints', 'name change due change corporate sponsorship', 'multiple independently produced instrumental datasets confirm 2009–2018 decade 0 93 ± 0 07 °c warmer pre-industrial baseline 1850–1900', 'climate change', 'integrated change management includes updating change request form change originator also tracking change change control register']"
claim-765,['broader term covers changes beyond warmer temperatures shifting rainfall patterns ”'],"['evidence-182543', 'evidence-362283', 'evidence-169460', 'evidence-889933', 'evidence-742308', 'evidence-678783']","['integrated change management includes updating change request form change originator also tracking change change control register', 'role solar activity climate change also calculated longer time periods using proxy datasets tree rings', 'every confidence science various datasets use', 'multiple independently produced instrumental datasets confirm 2009–2018 decade 0 93 ± 0 07 °c warmer pre-industrial baseline 1850–1900', 'datasets also contribute ongoing efforts measure local regional national impacts climate change', 'datasets updated frequently generally close agreement']"
