claim_id,claim_text,evidence_ids,evidence_text
claim-2796,used currently accepted value approximately 3°c warming doubling atmospheric co2 hansen would correctly projected ensuing global warming,"['evidence-430265', 'evidence-51798', 'evidence-540292', 'evidence-383968', 'evidence-57888', 'evidence-35625', 'evidence-954785', 'evidence-210566', 'evidence-255653', 'evidence-368794', 'evidence-1120350', 'evidence-352729', 'evidence-403673', 'evidence-1086865', 'evidence-338987', 'evidence-597452']","['stated warming mars evidence global warming earth caused changes sun', '2016 gallup found 64% americans worried global warming 59% believed global warming already happening 65% convinced global warming caused human activities', 'global warming contributes 0 6°c', 'extinction risk global warming risk species becoming extinct due effects global warming', 'global warming refers global averages amount warming varying region', 'global warming debate', 'less 14% observed global warming', 'recent global warming one many natural cycles warming cooling geologic history', 'global warming major threat global biodiversity', 'shows general warming global temperatures', 'currently surface temperatures rising 0 2 °c per decade', 'regional variation warming warming higher latitudes evidence warming anthropogenic origin', 'global warming 1 5 °c', 'global warming refers warming caused human technology since 19th century earlier', 'main positive feedback global warming tendency warming increase amount water vapor atmosphere turn leads warming', 'years romm wrote widely global warming energy technologies reduce global warming']"
claim-2580,volcanoes emit around 0 3 billion tonnes co2 per year,"['evidence-430265', 'evidence-540292', 'evidence-126737', 'evidence-57888', 'evidence-1150493', 'evidence-1077625', 'evidence-35625', 'evidence-262618', 'evidence-210566', 'evidence-1120350', 'evidence-352729', 'evidence-1156443', 'evidence-403673', 'evidence-1086865', 'evidence-338987', 'evidence-597452']","['stated warming mars evidence global warming earth caused changes sun', 'global warming contributes 0 6°c', 'factors may increase probability abrupt climate change include higher magnitudes global warming warming occurs rapidly warming sustained longer time periods', 'global warming refers global averages amount warming varying region', 'changes regional climate expected include greater warming land warming high northern latitudes least warming southern ocean parts north atlantic ocean', 'antarctica warming particularly strong warming noted antarctic peninsula', 'global warming debate', 'warming past century found warming similar hemispheres', 'recent global warming one many natural cycles warming cooling geologic history', 'currently surface temperatures rising 0 2 °c per decade', 'regional variation warming warming higher latitudes evidence warming anthropogenic origin', 'warming generally higher', 'global warming 1 5 °c', 'global warming refers warming caused human technology since 19th century earlier', 'main positive feedback global warming tendency warming increase amount water vapor atmosphere turn leads warming', 'years romm wrote widely global warming energy technologies reduce global warming']"
claim-1219,global warming driving major melting surface greenland’s glaciers speeding travel sea ”,"['evidence-430265', 'evidence-51798', 'evidence-540292', 'evidence-126737', 'evidence-57888', 'evidence-323590', 'evidence-1077625', 'evidence-35625', 'evidence-262618', 'evidence-210566', 'evidence-1120350', 'evidence-352729', 'evidence-403673', 'evidence-1086865', 'evidence-338987', 'evidence-597452']","['stated warming mars evidence global warming earth caused changes sun', '2016 gallup found 64% americans worried global warming 59% believed global warming already happening 65% convinced global warming caused human activities', 'global warming contributes 0 6°c', 'factors may increase probability abrupt climate change include higher magnitudes global warming warming occurs rapidly warming sustained longer time periods', 'global warming refers global averages amount warming varying region', 'total increase global warming century ~0 3 °c rather catastrophic warming 3-6°c 4-11°f predicted ipcc', 'antarctica warming particularly strong warming noted antarctic peninsula', 'global warming debate', 'warming past century found warming similar hemispheres', 'recent global warming one many natural cycles warming cooling geologic history', 'currently surface temperatures rising 0 2 °c per decade', 'regional variation warming warming higher latitudes evidence warming anthropogenic origin', 'global warming 1 5 °c', 'global warming refers warming caused human technology since 19th century earlier', 'main positive feedback global warming tendency warming increase amount water vapor atmosphere turn leads warming', 'years romm wrote widely global warming energy technologies reduce global warming']"
claim-75,science clear climate change making extreme weather events including tornadoes worse,"['evidence-430265', 'evidence-51798', 'evidence-540292', 'evidence-126737', 'evidence-57888', 'evidence-1077625', 'evidence-35625', 'evidence-262618', 'evidence-210566', 'evidence-1120350', 'evidence-352729', 'evidence-1156443', 'evidence-403673', 'evidence-1086865', 'evidence-338987', 'evidence-597452']","['stated warming mars evidence global warming earth caused changes sun', '2016 gallup found 64% americans worried global warming 59% believed global warming already happening 65% convinced global warming caused human activities', 'global warming contributes 0 6°c', 'factors may increase probability abrupt climate change include higher magnitudes global warming warming occurs rapidly warming sustained longer time periods', 'global warming refers global averages amount warming varying region', 'antarctica warming particularly strong warming noted antarctic peninsula', 'global warming debate', 'warming past century found warming similar hemispheres', 'recent global warming one many natural cycles warming cooling geologic history', 'currently surface temperatures rising 0 2 °c per decade', 'regional variation warming warming higher latitudes evidence warming anthropogenic origin', 'warming generally higher', 'global warming 1 5 °c', 'global warming refers warming caused human technology since 19th century earlier', 'main positive feedback global warming tendency warming increase amount water vapor atmosphere turn leads warming', 'years romm wrote widely global warming energy technologies reduce global warming']"
claim-2813,fact authors go estimate climate sensitivity findings calculate value 2 3 4 1°c,"['evidence-430265', 'evidence-51798', 'evidence-540292', 'evidence-126737', 'evidence-57888', 'evidence-323590', 'evidence-1077625', 'evidence-35625', 'evidence-262618', 'evidence-210566', 'evidence-1120350', 'evidence-352729', 'evidence-403673', 'evidence-1086865', 'evidence-338987', 'evidence-597452']","['stated warming mars evidence global warming earth caused changes sun', '2016 gallup found 64% americans worried global warming 59% believed global warming already happening 65% convinced global warming caused human activities', 'global warming contributes 0 6°c', 'factors may increase probability abrupt climate change include higher magnitudes global warming warming occurs rapidly warming sustained longer time periods', 'global warming refers global averages amount warming varying region', 'total increase global warming century ~0 3 °c rather catastrophic warming 3-6°c 4-11°f predicted ipcc', 'antarctica warming particularly strong warming noted antarctic peninsula', 'global warming debate', 'warming past century found warming similar hemispheres', 'recent global warming one many natural cycles warming cooling geologic history', 'currently surface temperatures rising 0 2 °c per decade', 'regional variation warming warming higher latitudes evidence warming anthropogenic origin', 'global warming 1 5 °c', 'global warming refers warming caused human technology since 19th century earlier', 'main positive feedback global warming tendency warming increase amount water vapor atmosphere turn leads warming', 'years romm wrote widely global warming energy technologies reduce global warming']"
claim-2335,satellite measurements infrared spectra past 40 years observe less energy escaping space wavelengths associated co2,"['evidence-430265', 'evidence-51798', 'evidence-540292', 'evidence-383968', 'evidence-57888', 'evidence-323590', 'evidence-448411', 'evidence-35625', 'evidence-210566', 'evidence-262618', 'evidence-1120350', 'evidence-352729', 'evidence-403673', 'evidence-1086865', 'evidence-338987', 'evidence-597452']","['stated warming mars evidence global warming earth caused changes sun', '2016 gallup found 64% americans worried global warming 59% believed global warming already happening 65% convinced global warming caused human activities', 'global warming contributes 0 6°c', 'extinction risk global warming risk species becoming extinct due effects global warming', 'global warming refers global averages amount warming varying region', 'total increase global warming century ~0 3 °c rather catastrophic warming 3-6°c 4-11°f predicted ipcc', 'reviewed evidence initial global warming changes would lead feedbacks accelerated warming', 'global warming debate', 'recent global warming one many natural cycles warming cooling geologic history', 'warming past century found warming similar hemispheres', 'currently surface temperatures rising 0 2 °c per decade', 'regional variation warming warming higher latitudes evidence warming anthropogenic origin', 'global warming 1 5 °c', 'global warming refers warming caused human technology since 19th century earlier', 'main positive feedback global warming tendency warming increase amount water vapor atmosphere turn leads warming', 'years romm wrote widely global warming energy technologies reduce global warming']"
claim-161,extreme melting changes climate like released pressure continent allowing ground rise,"['evidence-430265', 'evidence-51798', 'evidence-540292', 'evidence-126737', 'evidence-57888', 'evidence-1077625', 'evidence-35625', 'evidence-262618', 'evidence-210566', 'evidence-1120350', 'evidence-352729', 'evidence-1156443', 'evidence-403673', 'evidence-1086865', 'evidence-338987', 'evidence-597452']","['stated warming mars evidence global warming earth caused changes sun', '2016 gallup found 64% americans worried global warming 59% believed global warming already happening 65% convinced global warming caused human activities', 'global warming contributes 0 6°c', 'factors may increase probability abrupt climate change include higher magnitudes global warming warming occurs rapidly warming sustained longer time periods', 'global warming refers global averages amount warming varying region', 'antarctica warming particularly strong warming noted antarctic peninsula', 'global warming debate', 'warming past century found warming similar hemispheres', 'recent global warming one many natural cycles warming cooling geologic history', 'currently surface temperatures rising 0 2 °c per decade', 'regional variation warming warming higher latitudes evidence warming anthropogenic origin', 'warming generally higher', 'global warming 1 5 °c', 'global warming refers warming caused human technology since 19th century earlier', 'main positive feedback global warming tendency warming increase amount water vapor atmosphere turn leads warming', 'years romm wrote widely global warming energy technologies reduce global warming']"
claim-2243,co2 amplifies warming mixes atmosphere spreading warming throughout planet,"['evidence-430265', 'evidence-540292', 'evidence-1150493', 'evidence-57888', 'evidence-126737', 'evidence-1077625', 'evidence-35625', 'evidence-262618', 'evidence-210566', 'evidence-1120350', 'evidence-352729', 'evidence-1156443', 'evidence-403673', 'evidence-1086865', 'evidence-338987', 'evidence-597452']","['stated warming mars evidence global warming earth caused changes sun', 'global warming contributes 0 6°c', 'changes regional climate expected include greater warming land warming high northern latitudes least warming southern ocean parts north atlantic ocean', 'global warming refers global averages amount warming varying region', 'factors may increase probability abrupt climate change include higher magnitudes global warming warming occurs rapidly warming sustained longer time periods', 'antarctica warming particularly strong warming noted antarctic peninsula', 'global warming debate', 'warming past century found warming similar hemispheres', 'recent global warming one many natural cycles warming cooling geologic history', 'currently surface temperatures rising 0 2 °c per decade', 'regional variation warming warming higher latitudes evidence warming anthropogenic origin', 'warming generally higher', 'global warming 1 5 °c', 'global warming refers warming caused human technology since 19th century earlier', 'main positive feedback global warming tendency warming increase amount water vapor atmosphere turn leads warming', 'years romm wrote widely global warming energy technologies reduce global warming']"
claim-1256,‘next year year arctic free ice’,"['evidence-430265', 'evidence-1150493', 'evidence-126737', 'evidence-57888', 'evidence-1077625', 'evidence-35625', 'evidence-262618', 'evidence-210566', 'evidence-1120350', 'evidence-352729', 'evidence-1156443', 'evidence-403673', 'evidence-311208', 'evidence-413410', 'evidence-1086865', 'evidence-338987']","['stated warming mars evidence global warming earth caused changes sun', 'changes regional climate expected include greater warming land warming high northern latitudes least warming southern ocean parts north atlantic ocean', 'factors may increase probability abrupt climate change include higher magnitudes global warming warming occurs rapidly warming sustained longer time periods', 'global warming refers global averages amount warming varying region', 'antarctica warming particularly strong warming noted antarctic peninsula', 'global warming debate', 'warming past century found warming similar hemispheres', 'recent global warming one many natural cycles warming cooling geologic history', 'currently surface temperatures rising 0 2 °c per decade', 'regional variation warming warming higher latitudes evidence warming anthropogenic origin', 'warming generally higher', 'global warming 1 5 °c', 'proceed warming', 'greenhouse gas causing warming rate warming higher troposphere surface', 'global warming refers warming caused human technology since 19th century earlier', 'main positive feedback global warming tendency warming increase amount water vapor atmosphere turn leads warming']"
claim-506,100 climate models past 30 years predict actually happened assumed carbon dioxide pivotal role driving climate change effects clouds back-radiation sun trivial,"['evidence-51798', 'evidence-383968', 'evidence-540292', 'evidence-430265', 'evidence-57888', 'evidence-35625', 'evidence-268112', 'evidence-954785', 'evidence-255653', 'evidence-368794', 'evidence-1120350', 'evidence-953766', 'evidence-417371', 'evidence-403673', 'evidence-1086865', 'evidence-597452']","['2016 gallup found 64% americans worried global warming 59% believed global warming already happening 65% convinced global warming caused human activities', 'extinction risk global warming risk species becoming extinct due effects global warming', 'global warming contributes 0 6°c', 'stated warming mars evidence global warming earth caused changes sun', 'global warming refers global averages amount warming varying region', 'global warming debate', 'led increases mean global temperature global warming', 'less 14% observed global warming', 'global warming major threat global biodiversity', 'shows general warming global temperatures', 'currently surface temperatures rising 0 2 °c per decade', 'complex politics global warming results numerous cofactors arising global economy interdependence carbon dioxide emitting hydrocarbon energy sources directly implicated global warming—making global warming non-traditional environmental challenge', 'accurately global warming mainly human-caused increase global surface temperatures projected continuation climate change includes global warming effects changes precipitation', 'global warming 1 5 °c', 'global warming refers warming caused human technology since 19th century earlier', 'years romm wrote widely global warming energy technologies reduce global warming']"
claim-369,2050 there’s scientific consensus reached tipping point ice sheets greenland west antarctic,"['evidence-430265', 'evidence-51798', 'evidence-540292', 'evidence-126737', 'evidence-57888', 'evidence-323590', 'evidence-1077625', 'evidence-35625', 'evidence-262618', 'evidence-210566', 'evidence-1120350', 'evidence-352729', 'evidence-403673', 'evidence-1086865', 'evidence-338987', 'evidence-597452']","['stated warming mars evidence global warming earth caused changes sun', '2016 gallup found 64% americans worried global warming 59% believed global warming already happening 65% convinced global warming caused human activities', 'global warming contributes 0 6°c', 'factors may increase probability abrupt climate change include higher magnitudes global warming warming occurs rapidly warming sustained longer time periods', 'global warming refers global averages amount warming varying region', 'total increase global warming century ~0 3 °c rather catastrophic warming 3-6°c 4-11°f predicted ipcc', 'antarctica warming particularly strong warming noted antarctic peninsula', 'global warming debate', 'warming past century found warming similar hemispheres', 'recent global warming one many natural cycles warming cooling geologic history', 'currently surface temperatures rising 0 2 °c per decade', 'regional variation warming warming higher latitudes evidence warming anthropogenic origin', 'global warming 1 5 °c', 'global warming refers warming caused human technology since 19th century earlier', 'main positive feedback global warming tendency warming increase amount water vapor atmosphere turn leads warming', 'years romm wrote widely global warming energy technologies reduce global warming']"
claim-2184,ice ages warmer periods alligators found spitzbergen,"['evidence-430265', 'evidence-1150493', 'evidence-540292', 'evidence-57888', 'evidence-126737', 'evidence-1077625', 'evidence-35625', 'evidence-262618', 'evidence-210566', 'evidence-1120350', 'evidence-352729', 'evidence-1156443', 'evidence-403673', 'evidence-311208', 'evidence-1086865', 'evidence-338987']","['stated warming mars evidence global warming earth caused changes sun', 'changes regional climate expected include greater warming land warming high northern latitudes least warming southern ocean parts north atlantic ocean', 'global warming contributes 0 6°c', 'global warming refers global averages amount warming varying region', 'factors may increase probability abrupt climate change include higher magnitudes global warming warming occurs rapidly warming sustained longer time periods', 'antarctica warming particularly strong warming noted antarctic peninsula', 'global warming debate', 'warming past century found warming similar hemispheres', 'recent global warming one many natural cycles warming cooling geologic history', 'currently surface temperatures rising 0 2 °c per decade', 'regional variation warming warming higher latitudes evidence warming anthropogenic origin', 'warming generally higher', 'global warming 1 5 °c', 'proceed warming', 'global warming refers warming caused human technology since 19th century earlier', 'main positive feedback global warming tendency warming increase amount water vapor atmosphere turn leads warming']"
claim-1057,“moreover ocean already contains so-called oxygen minimum zones generally found middle depths,"['evidence-430265', 'evidence-51798', 'evidence-540292', 'evidence-126737', 'evidence-57888', 'evidence-323590', 'evidence-1077625', 'evidence-35625', 'evidence-262618', 'evidence-210566', 'evidence-1120350', 'evidence-352729', 'evidence-403673', 'evidence-1086865', 'evidence-338987', 'evidence-597452']","['stated warming mars evidence global warming earth caused changes sun', '2016 gallup found 64% americans worried global warming 59% believed global warming already happening 65% convinced global warming caused human activities', 'global warming contributes 0 6°c', 'factors may increase probability abrupt climate change include higher magnitudes global warming warming occurs rapidly warming sustained longer time periods', 'global warming refers global averages amount warming varying region', 'total increase global warming century ~0 3 °c rather catastrophic warming 3-6°c 4-11°f predicted ipcc', 'antarctica warming particularly strong warming noted antarctic peninsula', 'global warming debate', 'warming past century found warming similar hemispheres', 'recent global warming one many natural cycles warming cooling geologic history', 'currently surface temperatures rising 0 2 °c per decade', 'regional variation warming warming higher latitudes evidence warming anthropogenic origin', 'global warming 1 5 °c', 'global warming refers warming caused human technology since 19th century earlier', 'main positive feedback global warming tendency warming increase amount water vapor atmosphere turn leads warming', 'years romm wrote widely global warming energy technologies reduce global warming']"
claim-104,increases atmospheric co2 followed increases temperature,"['evidence-430265', 'evidence-1150493', 'evidence-126737', 'evidence-57888', 'evidence-1077625', 'evidence-35625', 'evidence-262618', 'evidence-210566', 'evidence-1120350', 'evidence-352729', 'evidence-1156443', 'evidence-403673', 'evidence-311208', 'evidence-413410', 'evidence-1086865', 'evidence-338987']","['stated warming mars evidence global warming earth caused changes sun', 'changes regional climate expected include greater warming land warming high northern latitudes least warming southern ocean parts north atlantic ocean', 'factors may increase probability abrupt climate change include higher magnitudes global warming warming occurs rapidly warming sustained longer time periods', 'global warming refers global averages amount warming varying region', 'antarctica warming particularly strong warming noted antarctic peninsula', 'global warming debate', 'warming past century found warming similar hemispheres', 'recent global warming one many natural cycles warming cooling geologic history', 'currently surface temperatures rising 0 2 °c per decade', 'regional variation warming warming higher latitudes evidence warming anthropogenic origin', 'warming generally higher', 'global warming 1 5 °c', 'proceed warming', 'greenhouse gas causing warming rate warming higher troposphere surface', 'global warming refers warming caused human technology since 19th century earlier', 'main positive feedback global warming tendency warming increase amount water vapor atmosphere turn leads warming']"
